;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Speed of sound, m/s;Speed of sound, m/s_std
59055;j.jct.2006.01.007;2-methyl-2-propanol;water;CC(C)(C)O;O;75-65-0;14314-42-2;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;2-methyl-2-propanol__water;0.9615;288.15;101.0;1613.71;1e-05
59056;j.jct.2006.01.007;2-methyl-2-propanol;water;CC(C)(C)O;O;75-65-0;14314-42-2;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;2-methyl-2-propanol__water;0.9615;293.15;101.0;1612.41;1e-05
59057;j.jct.2006.01.007;2-methyl-2-propanol;water;CC(C)(C)O;O;75-65-0;14314-42-2;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;2-methyl-2-propanol__water;0.9615;298.15;101.0;1610.04;1e-05
59058;j.jct.2006.01.007;2-methyl-2-propanol;water;CC(C)(C)O;O;75-65-0;14314-42-2;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;2-methyl-2-propanol__water;0.9615;303.15;101.0;1606.45;1e-05
59059;j.jct.2006.01.007;2-methyl-2-propanol;water;CC(C)(C)O;O;75-65-0;14314-42-2;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;2-methyl-2-propanol__water;0.9615;308.15;101.0;1602.45;1e-05
59060;j.jct.2006.01.007;2-methyl-2-propanol;water;CC(C)(C)O;O;75-65-0;14314-42-2;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;2-methyl-2-propanol__water;0.9615;313.15;101.0;1597.04;1e-05
80579;j.jct.2006.08.007;tetrahydrofuran;water;C1CCOC1;O;77392-70-2;14314-42-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;tetrahydrofuran__water;0.0;279.15;101.0;1433.0;0.5
80580;j.jct.2006.08.007;tetrahydrofuran;water;C1CCOC1;O;77392-70-2;14314-42-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;tetrahydrofuran__water;0.046;279.15;101.0;1571.5;0.5
80581;j.jct.2006.08.007;tetrahydrofuran;water;C1CCOC1;O;77392-70-2;14314-42-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;tetrahydrofuran__water;0.086;279.15;101.0;1610.7;0.5
80582;j.jct.2006.08.007;tetrahydrofuran;water;C1CCOC1;O;77392-70-2;14314-42-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;tetrahydrofuran__water;0.19;279.15;101.0;1554.0;0.5
80583;j.jct.2006.08.007;tetrahydrofuran;water;C1CCOC1;O;77392-70-2;14314-42-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;tetrahydrofuran__water;0.33;279.15;101.0;1474.2;0.5
80584;j.jct.2006.08.007;tetrahydrofuran;water;C1CCOC1;O;77392-70-2;14314-42-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;tetrahydrofuran__water;0.54;279.15;101.0;1420.7;0.5
80585;j.jct.2006.08.007;tetrahydrofuran;water;C1CCOC1;O;77392-70-2;14314-42-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;tetrahydrofuran__water;0.74;279.15;101.0;1396.7;0.5
101224;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.0;293.15;101.0;1153.0;0.0
101225;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.0327;293.15;101.0;1148.0;0.0
101226;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.0941;293.15;101.0;1145.0;0.0
101227;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.1993;293.15;101.0;1140.0;0.0
101228;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.3015;293.15;101.0;1137.0;0.0
101229;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.3967;293.15;101.0;1135.0;0.0
101230;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.498;293.15;101.0;1133.0;0.0
101231;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.5896;293.15;101.0;1133.0;0.0
101232;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.6993;293.15;101.0;1133.0;0.0
101233;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.8002;293.15;101.0;1136.0;0.0
101234;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.902;293.15;101.0;1143.0;0.0
101235;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.9502;293.15;101.0;1150.0;0.0
101236;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;1.0;293.15;101.0;1160.0;0.0
101237;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.0;298.15;101.0;1131.0;0.0
101238;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.0327;298.15;101.0;1127.0;0.0
101239;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.0941;298.15;101.0;1123.0;0.0
101240;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.1993;298.15;101.0;1119.0;0.0
101241;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.3015;298.15;101.0;1116.0;0.0
101242;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.3967;298.15;101.0;1114.0;0.0
101243;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.498;298.15;101.0;1113.0;0.0
101244;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.5896;298.15;101.0;1112.0;0.0
101245;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.6993;298.15;101.0;1113.0;0.0
101246;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.8002;298.15;101.0;1117.0;0.0
101247;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.902;298.15;101.0;1125.0;0.0
101248;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.9502;298.15;101.0;1133.0;0.0
101249;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;1.0;298.15;101.0;1143.0;0.0
101250;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.0;303.15;101.0;1110.0;0.0
101251;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.0327;303.15;101.0;1105.0;0.0
101252;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.0941;303.15;101.0;1101.0;0.0
101253;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.1993;303.15;101.0;1097.0;0.0
101254;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.3015;303.15;101.0;1094.0;0.0
101255;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.3967;303.15;101.0;1093.0;0.0
101256;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.498;303.15;101.0;1092.0;0.0
101257;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.5896;303.15;101.0;1092.0;0.0
101258;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.6993;303.15;101.0;1094.0;0.0
101259;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.8002;303.15;101.0;1098.0;0.0
101260;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.902;303.15;101.0;1108.0;0.0
101261;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;0.9502;303.15;101.0;1115.0;0.0
101262;j.jct.2007.02.008;ethanol;heptane;CCO;CCCCCCC;121182-78-3;142-82-5;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;ethanol__heptane;1.0;303.15;101.0;1127.0;0.0
156913;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.0;298.15;101.0;1082.8;0.5
156914;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.05551;298.15;101.0;1079.2;0.5
156915;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.08857;298.15;101.0;1077.1;0.5
156916;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.13045;298.15;101.0;1074.8;0.5
156917;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.19708;298.15;101.0;1071.0;0.5
156918;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.25994;298.15;101.0;1067.4;0.5
156919;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.32839;298.15;101.0;1063.8;0.5
156920;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.40777;298.15;101.0;1059.5;0.5
156921;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.47558;298.15;101.0;1056.1;0.5
156922;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.56289;298.15;101.0;1052.0;0.5
156923;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.61844;298.15;101.0;1049.5;0.5
156924;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.68306;298.15;101.0;1046.7;0.5
156925;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.74559;298.15;101.0;1044.1;0.5
156926;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.76442;298.15;101.0;1043.4;0.5
156927;j.jct.2009.01.008;2,2,4-trimethylpentane;methyl tert-butyl ether;CC(C)CC(C)(C)C;COC(C)(C)C;31921-36-5;1634-04-4;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;2,2,4-trimethylpentane__methyl tert-butyl ether;0.81426;298.15;101.0;1041.7;0.5
