,Mixture,Mixture Count dens binary,Mixture Count actcoeff binary,Mixture Count sos binary,Mixture Count dielec binary,Mixture Count eme binary,Mixture Count emcp binary,Mixture Count emv binary,Mixture Count all,x1,x2,SMILES1,SMILES2
0,benzene__octane,1067,0,13,0,0,0,0,1080,benzene,octane,c1ccccc1,CCCCCCCC
2,2-propanol__water,1012,0,0,0,45,0,0,1057,2-propanol,water,CC(C)O,O
1,cyclohexane__nonane,1031,0,0,0,0,0,0,1031,cyclohexane,nonane,C1CCCCC1,CCCCCCCCC
3,1-propanol__toluene,842,0,0,0,0,0,0,842,1-propanol,toluene,CCCO,Cc1ccccc1
9,ethanol__water,712,0,20,0,83,0,0,815,ethanol,water,CCO,O
8,ethanol__toluene,723,0,71,0,0,0,0,794,ethanol,toluene,CCO,Cc1ccccc1
5,ethanol__methylcyclohexane,753,0,11,0,0,0,0,764,ethanol,methylcyclohexane,CCO,CC1CCCCC1
4,1-heptanol__heptane,756,0,0,0,0,0,0,756,1-heptanol,heptane,CCCCCCCO,CCCCCCC
6,n-octane__n-decane,750,0,0,0,0,0,0,750,n-octane,n-decane,CCCCCCCC,CCCCCCCCCC
7,n-decane__heptane,750,0,0,0,0,0,0,750,n-decane,heptane,CCCCCCCCCC,CCCCCCC
10,ethanol__heptane,708,0,39,0,0,0,0,747,ethanol,heptane,CCO,CCCCCCC
11,2-methyl-2-propanol__water,636,0,6,0,0,0,0,642,2-methyl-2-propanol,water,CC(C)(C)O,O
12,1-butanol__cyclohexane,501,0,51,0,38,0,0,590,1-butanol,cyclohexane,CCCCO,C1CCCCC1
89,tert-pentyl alcohol__heptane,102,0,450,0,0,0,0,552,tert-pentyl alcohol,heptane,CCC(C)(C)O,CCCCCCC
63,"1,4-butanediol__water",142,0,142,0,36,109,109,538,"1,4-butanediol",water,OCCCCO,O
17,1-propoxy-2-propanol__water,318,0,145,0,0,0,0,463,1-propoxy-2-propanol,water,CCCOCC(C)O,O
13,glycerol__water,381,5,0,8,0,0,0,394,glycerol,water,OCC(O)CO,O
38,"1,2-dimethylbenzene__methyl tert-butyl ether",195,0,195,0,0,0,0,390,"1,2-dimethylbenzene",methyl tert-butyl ether,Cc1ccccc1C,COC(C)(C)C
39,"1,3-dimethylbenzene__tert-butyl ethyl ether",195,0,195,0,0,0,0,390,"1,3-dimethylbenzene",tert-butyl ethyl ether,Cc1cccc(C)c1,CCOC(C)(C)C
40,"1,3-dimethylbenzene__methyl tert-butyl ether",195,0,195,0,0,0,0,390,"1,3-dimethylbenzene",methyl tert-butyl ether,Cc1cccc(C)c1,COC(C)(C)C
41,"1,2-dimethylbenzene__tert-butyl ethyl ether",195,0,195,0,0,0,0,390,"1,2-dimethylbenzene",tert-butyl ethyl ether,Cc1ccccc1C,CCOC(C)(C)C
42,"1,4-dimethylbenzene__methyl tert-butyl ether",195,0,195,0,0,0,0,390,"1,4-dimethylbenzene",methyl tert-butyl ether,Cc1ccc(C)cc1,COC(C)(C)C
43,"1,4-dimethylbenzene__tert-butyl ethyl ether",195,0,195,0,0,0,0,390,"1,4-dimethylbenzene",tert-butyl ethyl ether,Cc1ccc(C)cc1,CCOC(C)(C)C
33,methanol__water,212,0,12,0,140,0,0,364,methanol,water,CO,O
14,tert-butanol__water,360,0,0,0,0,0,0,360,tert-butanol,water,CC(C)(C)O,O
27,1-hexanol__dibutyl ether,254,0,54,0,20,0,0,328,1-hexanol,dibutyl ether,CCCCCCO,CCCCOCCCC
15,"1,1,1-trimethanolethane__water",324,0,0,0,0,0,0,324,"1,1,1-trimethanolethane",water,CC(CO)(CO)CO,O
16,n-butyl alcohol__2-methylheptane,324,0,0,0,0,0,0,324,n-butyl alcohol,2-methylheptane,CCCCO,CCCCCC(C)C
25,benzene__cyclohexane,262,0,44,0,0,0,0,306,benzene,cyclohexane,c1ccccc1,C1CCCCC1
84,"1,3-propanediol__water",106,0,0,8,36,64,90,304,"1,3-propanediol",water,OCCCO,O
18,n-butyl alcohol__butyl oxide,300,0,0,0,0,0,0,300,n-butyl alcohol,butyl oxide,CCCCO,CCCCOCCCC
21,cyclohexanol__water,280,0,15,0,0,0,0,295,cyclohexanol,water,OC1CCCCC1,O
19,cyclopentanol__water,287,0,0,0,0,0,0,287,cyclopentanol,water,OC1CCCC1,O
20,bis(2-hydroxyethyl) ether__water,280,0,0,0,0,0,0,280,bis(2-hydroxyethyl) ether,water,OCCOCCO,O
22,cis-decalin__trans-decalin,278,0,0,0,0,0,0,278,cis-decalin,trans-decalin,C1CC[C@@H]2CCCC[C@@H]2C1,C1CC[C@@H]2CCCC[C@H]2C1
71,.beta.-butylene glycol__water,138,0,138,0,0,0,0,276,.beta.-butylene glycol,water,CC(O)CCO,O
23,"2-ethyl-2-(hydroxymethyl)-1,3-propanediol__water",270,0,0,0,0,0,0,270,"2-ethyl-2-(hydroxymethyl)-1,3-propanediol",water,CCC(CO)(CO)CO,O
24,"1,5-pentanediol__water",269,0,0,0,0,0,0,269,"1,5-pentanediol",water,OCCCCCO,O
354,"1,2-propanediol__water",22,0,0,8,36,85,114,265,"1,2-propanediol",water,CC(O)CO,O
26,"1,6-hexanediol__water",255,0,0,0,0,0,0,255,"1,6-hexanediol",water,OCCCCCCO,O
75,"1-heptanol__1,4-dioxane",126,0,126,0,0,0,0,252,1-heptanol,"1,4-dioxane",CCCCCCCO,C1COCCO1
333,"1,2-ethanediol__water",26,0,0,10,0,79,135,250,"1,2-ethanediol",water,OCCO,O
184,ethanol__methanol,63,0,0,105,76,0,0,244,ethanol,methanol,CCO,CO
28,"1,4-dimethylbenzene__octane",242,0,0,0,0,0,0,242,"1,4-dimethylbenzene",octane,Cc1ccc(C)cc1,CCCCCCCC
31,tetrahydrofuran__water,220,0,20,0,0,0,0,240,tetrahydrofuran,water,C1CCOC1,O
29,cycloheptanol__water,222,0,0,0,0,0,0,222,cycloheptanol,water,OC1CCCCCC1,O
35,1-propanol__dibutyl ether,200,0,0,0,21,0,0,221,1-propanol,dibutyl ether,CCCO,CCCCOCCCC
30,"1,8-octanediol__water",220,0,0,0,0,0,0,220,"1,8-octanediol",water,OCCCCCCCCO,O
108,1-butanol__toluene,88,0,88,0,38,0,0,214,1-butanol,toluene,CCCCO,Cc1ccccc1
32,neopentyl alcohol__water,213,0,0,0,0,0,0,213,neopentyl alcohol,water,CC(C)(C)CO,O
46,"1,4-dimethylbenzene__decane",180,0,33,0,0,0,0,213,"1,4-dimethylbenzene",decane,Cc1ccc(C)cc1,CCCCCCCCCC
96,"1-butanol__2,2,4-trimethylpentane",93,0,80,0,38,0,0,211,1-butanol,"2,2,4-trimethylpentane",CCCCO,CC(C)CC(C)(C)C
34,"2-methyl-1,3-propanediol__water",209,0,0,0,0,0,0,209,"2-methyl-1,3-propanediol",water,CC(CO)CO,O
44,2-butoxyethanol__water,191,0,18,0,0,0,0,209,2-butoxyethanol,water,CCCCOCCO,O
95,"1,2-hexanediol__water",96,0,0,0,0,53,60,209,"1,2-hexanediol",water,CCCCC(O)CO,O
45,decane__methyl tert-butyl ether,181,0,0,0,20,0,0,201,decane,methyl tert-butyl ether,CCCCCCCCCC,COC(C)(C)C
36,2-propanol__dibutyl ether,200,0,0,0,0,0,0,200,2-propanol,dibutyl ether,CC(C)O,CCCCOCCCC
51,1-propanol__water,172,0,27,0,0,0,0,199,1-propanol,water,CCCO,O
37,"3,6-dioxaoctane__water",196,0,0,0,0,0,0,196,"3,6-dioxaoctane",water,CCOCCOCC,O
74,2-phenylethanol__2-propanol,129,0,66,0,0,0,0,195,2-phenylethanol,2-propanol,OCCc1ccccc1,CC(C)O
205,1-butanol__dibutyl ether,55,0,55,0,84,0,0,194,1-butanol,dibutyl ether,CCCCO,CCCCOCCCC
49,nonane__methyl tert-butyl ether,173,0,0,0,20,0,0,193,nonane,methyl tert-butyl ether,CCCCCCCCC,COC(C)(C)C
70,1-butanol__benzene,138,0,0,0,51,0,0,189,1-butanol,benzene,CCCCO,c1ccccc1
47,cyclohexylmethanol__water,176,0,0,0,0,0,0,176,cyclohexylmethanol,water,OCC1CCCCC1,O
48,2-cyclohexylethanol__water,175,0,0,0,0,0,0,175,2-cyclohexylethanol,water,OCCC1CCCCC1,O
186,1-butanol__hexane,60,0,60,0,23,0,31,174,1-butanol,hexane,CCCCO,CCCCCC
50,diethoxymethane__water,173,0,0,0,0,0,0,173,diethoxymethane,water,CCOCOCC,O
57,"2,5,8-trioxanonane__water",154,0,18,0,0,0,0,172,"2,5,8-trioxanonane",water,COCCOCCOC,O
52,n-octane__nonane,171,0,0,0,0,0,0,171,n-octane,nonane,CCCCCCCC,CCCCCCCCC
59,"ethanol__2,2,4-trimethylpentane",150,0,0,0,19,0,0,169,ethanol,"2,2,4-trimethylpentane",CCO,CC(C)CC(C)(C)C
53,pentaerythritol__water,165,0,0,0,0,0,0,165,pentaerythritol,water,OCC(CO)(CO)CO,O
127,2-propanol__cyclohexane,78,0,78,0,9,0,0,165,2-propanol,cyclohexane,CC(C)O,C1CCCCC1
123,1-octanol__1-butoxy-2-propanol,80,0,80,0,0,0,0,160,1-octanol,1-butoxy-2-propanol,CCCCCCCCO,CCCCOCC(C)O
124,1-hexanol__1-butoxy-2-propanol,80,0,80,0,0,0,0,160,1-hexanol,1-butoxy-2-propanol,CCCCCCO,CCCCOCC(C)O
54,propane__butane,157,0,0,0,0,0,0,157,propane,butane,CCC,CCCC
55,cyclooctanol__water,156,0,0,0,0,0,0,156,cyclooctanol,water,OC1CCCCCCC1,O
56,"2,2-dimethyl-1,3-propanediol__water",156,0,0,0,0,0,0,156,"2,2-dimethyl-1,3-propanediol",water,CC(C)(CO)CO,O
137,"toluene__2,2,4-trimethylpentane",77,0,77,0,0,0,0,154,toluene,"2,2,4-trimethylpentane",Cc1ccccc1,CC(C)CC(C)(C)C
58,methanol__methyl tert-butyl ether,151,0,0,0,0,0,0,151,methanol,methyl tert-butyl ether,CO,COC(C)(C)C
80,ethanol__cyclohexane,111,0,39,0,0,0,0,150,ethanol,cyclohexane,CCO,C1CCCCC1
60,hexane__heptane,149,0,0,0,0,0,0,149,hexane,heptane,CCCCCC,CCCCCCC
141,"dibutyl ether__ethanol, 2-propoxy-",73,0,73,0,0,0,0,146,dibutyl ether,"ethanol, 2-propoxy-",CCCCOCCCC,CCCOCCO
61,2-propanol__methyl tert-butyl ether,144,0,0,0,0,0,0,144,2-propanol,methyl tert-butyl ether,CC(C)O,COC(C)(C)C
62,butan-1-ol__methyl tert-butyl ether,144,0,0,0,0,0,0,144,butan-1-ol,methyl tert-butyl ether,CCCCO,COC(C)(C)C
143,ethanol__isooctane,72,0,72,0,0,0,0,144,ethanol,isooctane,CCO,CCCCCC(C)C
214,"butan-1-ol__butane, 1,4-dihydroxy-",50,0,54,0,0,0,40,144,butan-1-ol,"butane, 1,4-dihydroxy-",CCCCO,OCCCCO
64,propan-1-ol__methyl tert-butyl ether,140,0,0,0,0,0,0,140,propan-1-ol,methyl tert-butyl ether,CCCO,COC(C)(C)C
65,ethanol__methyl tert-butyl ether,140,0,0,0,0,0,0,140,ethanol,methyl tert-butyl ether,CCO,COC(C)(C)C
66,pentan-1-ol__methyl tert-butyl ether,140,0,0,0,0,0,0,140,pentan-1-ol,methyl tert-butyl ether,CCCCCO,COC(C)(C)C
67,pentylcarbinol__methyl tert-butyl ether,140,0,0,0,0,0,0,140,pentylcarbinol,methyl tert-butyl ether,CCCCCCO,COC(C)(C)C
145,2-butoxyethanol__1-octanol,70,0,70,0,0,0,0,140,2-butoxyethanol,1-octanol,CCCCOCCO,CCCCCCCCO
146,1-propanol__2-butoxyethanol,70,0,70,0,0,0,0,140,1-propanol,2-butoxyethanol,CCCO,CCCCOCCO
147,2-butanol__2-butoxyethanol,70,0,70,0,0,0,0,140,2-butanol,2-butoxyethanol,CCC(C)O,CCCCOCCO
148,2-propanol__2-butoxyethanol,70,0,70,0,0,0,0,140,2-propanol,2-butoxyethanol,CC(C)O,CCCCOCCO
149,1-hexanol__2-butoxyethanol,70,0,70,0,0,0,0,140,1-hexanol,2-butoxyethanol,CCCCCCO,CCCCOCCO
150,1-butanol__2-butoxyethanol,70,0,70,0,0,0,0,140,1-butanol,2-butoxyethanol,CCCCO,CCCCOCCO
68,ribitol__water,139,0,0,0,0,0,0,139,ribitol,water,OC[C@@H](O)[C@@H](O)[C@@H](O)CO,O
69,"3-methylpentane-1,5-diol__water",138,0,0,0,0,0,0,138,"3-methylpentane-1,5-diol",water,CC(CCO)CCO,O
72,pentane__nonane,138,0,0,0,0,0,0,138,pentane,nonane,CCCCC,CCCCCCCCC
111,methylcyclohexane__toluene,85,0,50,0,0,0,0,135,methylcyclohexane,toluene,CC1CCCCC1,Cc1ccccc1
113,benzene__methylcyclohexane,85,0,50,0,0,0,0,135,benzene,methylcyclohexane,c1ccccc1,CC1CCCCC1
152,"nonane__2,5,8-trioxanonane",69,0,0,66,0,0,0,135,nonane,"2,5,8-trioxanonane",CCCCCCCCC,COCCOCCOC
77,ethanol__2-methyl-1-butanol,116,0,18,0,0,0,0,134,ethanol,2-methyl-1-butanol,CCO,CCC(C)CO
197,1-octanol__dibutyl ether,56,0,56,0,22,0,0,134,1-octanol,dibutyl ether,CCCCCCCCO,CCCCOCCCC
153,1-butanol__methyl tert-butyl ether,67,0,66,0,0,0,0,133,1-butanol,methyl tert-butyl ether,CCCCO,COC(C)(C)C
97,toluene__cyclohexane,93,0,39,0,0,0,0,132,toluene,cyclohexane,Cc1ccccc1,C1CCCCC1
154,"benzenemethanol__1,2-butanediol",66,0,66,0,0,0,0,132,benzenemethanol,"1,2-butanediol",OCc1ccccc1,CCC(O)CO
156,2-phenylethanol__1-propanol,66,0,66,0,0,0,0,132,2-phenylethanol,1-propanol,OCCc1ccccc1,CCCO
157,1-propanol__tert-butanol,66,0,66,0,0,0,0,132,1-propanol,tert-butanol,CCCO,CC(C)(C)O
159,"2-phenylethanol__1,2-butanediol",66,0,66,0,0,0,0,132,2-phenylethanol,"1,2-butanediol",OCCc1ccccc1,CCC(O)CO
160,2-propanol__tert-butanol,66,0,66,0,0,0,0,132,2-propanol,tert-butanol,CC(C)O,CC(C)(C)O
161,"(RS)-2-butanol__1,2-butanediol",66,0,66,0,0,0,0,132,(RS)-2-butanol,"1,2-butanediol",CCC(C)O,CCC(O)CO
163,"1,2-dimethoxyethane__nonane",66,0,0,66,0,0,0,132,"1,2-dimethoxyethane",nonane,COCCOC,CCCCCCCCC
165,"2-propanol__1,3-propanediol",66,0,66,0,0,0,0,132,2-propanol,"1,3-propanediol",CC(C)O,OCCCO
171,"1,3-butanediol__1,2-butanediol",66,0,66,0,0,0,0,132,"1,3-butanediol","1,2-butanediol",CC(O)CCO,CCC(O)CO
172,"1-propanol__1,3-propanediol",66,0,66,0,0,0,0,132,1-propanol,"1,3-propanediol",CCCO,OCCCO
73,1-propanol__benzene,131,0,0,0,0,0,0,131,1-propanol,benzene,CCCO,c1ccccc1
195,1-pentanol__dibutyl ether,56,0,56,0,19,0,0,131,1-pentanol,dibutyl ether,CCCCCO,CCCCOCCCC
697,"1-butanol__1,4-butanediol",0,0,0,0,0,130,0,130,1-butanol,"1,4-butanediol",CCCCO,OCCCCO
176,octane__methyl tert-butyl ether,64,0,65,0,0,0,0,129,octane,methyl tert-butyl ether,CCCCCCCC,COC(C)(C)C
179,1-butanol__2-(2-methoxyethoxy)ethanol,63,0,63,0,0,0,0,126,1-butanol,2-(2-methoxyethoxy)ethanol,CCCCO,COCCOCCO
185,2-methoxyethanol__2-(2-methoxyethoxy)ethanol,61,0,61,0,0,0,0,122,2-methoxyethanol,2-(2-methoxyethoxy)ethanol,COCCO,COCCOCCO
76,methanol__benzene,121,0,0,0,0,0,0,121,methanol,benzene,CO,c1ccccc1
189,"1-butanol__3,6-dioxa-1-octanol",60,0,60,0,0,0,0,120,1-butanol,"3,6-dioxa-1-octanol",CCCCO,CCOCCOCCO
266,ethanol__hexane,39,0,39,0,17,0,23,118,ethanol,hexane,CCO,CCCCCC
78,"2,5-hexanediol__water",114,0,0,0,0,0,0,114,"2,5-hexanediol",water,CC(O)CCC(C)O,O
79,pentane__n-octane,114,0,0,0,0,0,0,114,pentane,n-octane,CCCCC,CCCCCCCC
192,2-methoxyethanol__2-butoxyethanol,57,0,57,0,0,0,0,114,2-methoxyethanol,2-butoxyethanol,COCCO,CCCCOCCO
281,benzene__tetrahydropyran,36,0,50,0,14,0,14,114,benzene,tetrahydropyran,c1ccccc1,C1CCOCC1
284,toluene__tetrahydropyran,36,0,50,0,14,0,14,114,toluene,tetrahydropyran,Cc1ccccc1,C1CCOCC1
228,1-butanol__octane,48,0,48,0,16,0,0,112,1-butanol,octane,CCCCO,CCCCCCCC
199,"2,2,4-trimethylpentane__methyl tert-butyl ether",55,0,55,0,0,0,0,110,"2,2,4-trimethylpentane",methyl tert-butyl ether,CC(C)CC(C)(C)C,COC(C)(C)C
200,1-heptanol__dibutyl ether,55,0,55,0,0,0,0,110,1-heptanol,dibutyl ether,CCCCCCCO,CCCCOCCCC
81,"1-propanol__2,2,4-trimethylpentane",108,0,0,0,0,0,0,108,1-propanol,"2,2,4-trimethylpentane",CCCO,CC(C)CC(C)(C)C
82,pentane__heptane,107,0,0,0,0,0,0,107,pentane,heptane,CCCCC,CCCCCCC
83,glycerin__water,107,0,0,0,0,0,0,107,glycerin,water,OCC(O)CO,O
100,2-(2-methoxyethoxy)ethanol__water,91,0,16,0,0,0,0,107,2-(2-methoxyethoxy)ethanol,water,COCCOCCO,O
121,"1,4-dimethylbenzene__cyclohexane",81,0,26,0,0,0,0,107,"1,4-dimethylbenzene",cyclohexane,Cc1ccc(C)cc1,C1CCCCC1
142,"1,3-benzenediol__water",72,0,35,0,0,0,0,107,"1,3-benzenediol",water,Oc1cccc(O)c1,O
85,propylene glycol__water,106,0,0,0,0,0,0,106,propylene glycol,water,CC(O)CO,O
118,"2,2-bis(hydroxymethyl)-1,3-propanediol__water",84,0,22,0,0,0,0,106,"2,2-bis(hydroxymethyl)-1,3-propanediol",water,OCC(CO)(CO)CO,O
86,methanol__ethylbenzene,105,0,0,0,0,0,0,105,methanol,ethylbenzene,CO,CCc1ccccc1
87,2-methoxyethanol__tert-butyl ethyl ether,105,0,0,0,0,0,0,105,2-methoxyethanol,tert-butyl ethyl ether,COCCO,CCOC(C)(C)C
88,2-(2-methoxyethoxy)ethanol__tert-butyl ethyl ether,105,0,0,0,0,0,0,105,2-(2-methoxyethoxy)ethanol,tert-butyl ethyl ether,COCCOCCO,CCOC(C)(C)C
592,methanol__2-propanol,0,0,0,105,0,0,0,105,methanol,2-propanol,CO,CC(C)O
593,methanol__2-methyl-1-propanol,0,0,0,105,0,0,0,105,methanol,2-methyl-1-propanol,CO,CC(C)CO
594,methanol__1-butanol,0,0,0,105,0,0,0,105,methanol,1-butanol,CO,CCCCO
595,methanol__1-propanol,0,0,0,105,0,0,0,105,methanol,1-propanol,CO,CCCO
193,toluene__methyl tert-butyl ether,57,0,46,0,0,0,0,103,toluene,methyl tert-butyl ether,Cc1ccccc1,COC(C)(C)C
233,"1,2-ethanediol__1-nonanol",48,0,55,0,0,0,0,103,"1,2-ethanediol",1-nonanol,OCCO,CCCCCCCCCO
177,1-propanol__cyclopentane,63,0,39,0,0,0,0,102,1-propanol,cyclopentane,CCCO,C1CCCC1
105,toluene__octane,88,0,13,0,0,0,0,101,toluene,octane,Cc1ccccc1,CCCCCCCC
90,pentane__hexane,100,0,0,0,0,0,0,100,pentane,hexane,CCCCC,CCCCCC
91,tetralin__isobutylbenzene,100,0,0,0,0,0,0,100,tetralin,isobutylbenzene,C1CCc2ccccc2C1,CC(C)Cc1ccccc1
92,heptane__methyl tert-butyl ether,99,0,0,0,0,0,0,99,heptane,methyl tert-butyl ether,CCCCCCC,COC(C)(C)C
93,ethanol__3-methyl-1-butanol,98,0,0,0,0,0,0,98,ethanol,3-methyl-1-butanol,CCO,CC(C)CCO
94,ethanol__2-methyl-2-butanol,98,0,0,0,0,0,0,98,ethanol,2-methyl-2-butanol,CCO,CCC(C)(C)O
190,"1,4-dimethylbenzene__methylcyclohexane",59,0,37,0,0,0,0,96,"1,4-dimethylbenzene",methylcyclohexane,Cc1ccc(C)cc1,CC1CCCCC1
191,"1,3,5-trimethylbenzene__methylcyclohexane",59,0,37,0,0,0,0,96,"1,3,5-trimethylbenzene",methylcyclohexane,Cc1cc(C)cc(C)c1,CC1CCCCC1
215,ethylbenzene__1-nonanol,48,0,48,0,0,0,0,96,ethylbenzene,1-nonanol,CCc1ccccc1,CCCCCCCCCO
216,benzene__2-ethyl-1-hexanol,48,0,48,0,0,0,0,96,benzene,2-ethyl-1-hexanol,c1ccccc1,CCCCC(CC)CO
217,2-methoxyethanol__1-octanol,48,0,48,0,0,0,0,96,2-methoxyethanol,1-octanol,COCCO,CCCCCCCCO
218,"1,3-dimethylbenzene__1-nonanol",48,0,48,0,0,0,0,96,"1,3-dimethylbenzene",1-nonanol,Cc1cccc(C)c1,CCCCCCCCCO
223,2-methoxyethanol__1-hexanol,48,0,48,0,0,0,0,96,2-methoxyethanol,1-hexanol,COCCO,CCCCCCO
224,"1,4-dimethylbenzene__1-nonanol",48,0,48,0,0,0,0,96,"1,4-dimethylbenzene",1-nonanol,Cc1ccc(C)cc1,CCCCCCCCCO
225,tetrahydrofuran__n-hexyl alcohol,48,0,48,0,0,0,0,96,tetrahydrofuran,n-hexyl alcohol,C1CCOC1,CCCCCCO
226,octane__1-octanol,48,0,48,0,0,0,0,96,octane,1-octanol,CCCCCCCC,CCCCCCCCO
229,1-octanol__decane,48,0,48,0,0,0,0,96,1-octanol,decane,CCCCCCCCO,CCCCCCCCCC
230,hexane__1-octanol,48,0,48,0,0,0,0,96,hexane,1-octanol,CCCCCC,CCCCCCCCO
232,1-butanol__decane,48,0,48,0,0,0,0,96,1-butanol,decane,CCCCO,CCCCCCCCCC
235,"1,2-dimethylbenzene__1-nonanol",48,0,48,0,0,0,0,96,"1,2-dimethylbenzene",1-nonanol,Cc1ccccc1C,CCCCCCCCCO
236,tetrahydrofuran__octyl alcohol,48,0,48,0,0,0,0,96,tetrahydrofuran,octyl alcohol,C1CCOC1,CCCCCCCCO
596,methanol__2-methyl-2-propanol,0,0,0,95,0,0,0,95,methanol,2-methyl-2-propanol,CO,CC(C)(C)O
138,1-butanol__water,75,8,11,0,0,0,0,94,1-butanol,water,CCCCO,O
320,1-butanol__2-methyltetrahydrofuran,27,0,34,0,33,0,0,94,1-butanol,2-methyltetrahydrofuran,CCCCO,CC1CCCO1
