,Component,SMILES,Component Count dens pure,Component Count cpmol pure,Component Count sos pure,Component Count dielec pure,Component Count hmol pure,Component Count vmol pure,Component Count vspec pure,Component Count all pure 
0,decane,CCCCCCCCCC,9289,8,21,0,0,0,0,9318
1,1-butanol,CCCCO,1327,49,85,11,0,0,0,1472
2,heptane,CCCCCCC,1254,39,132,3,12,1,0,1441
3,ethanol,CCO,1169,86,91,8,0,0,2,1356
8,water,O,634,54,183,31,0,0,39,941
7,toluene,Cc1ccccc1,641,3,235,51,0,0,0,930
9,methanol,CO,606,75,142,7,0,0,0,830
6,1-propanol,CCCO,659,18,78,7,0,0,0,762
4,2-methyl-1-propanol,CC(C)CO,721,0,15,5,0,0,0,741
5,1-hexanol,CCCCCCO,664,8,64,2,0,0,0,738
10,1-pentanol,CCCCCO,396,0,78,10,0,0,0,484
11,cyclohexane,C1CCCCC1,368,21,55,0,0,11,0,455
13,1-octanol,CCCCCCCCO,356,12,78,2,0,0,0,448
12,2-propanol,CC(C)O,357,6,53,5,0,0,0,421
16,1-heptanol,CCCCCCCO,313,0,77,2,0,0,0,392
15,"1,2-ethanediol",OCCO,314,47,26,1,0,0,2,390
17,nonane,CCCCCCCCC,273,0,81,6,0,0,0,360
14,octane,CCCCCCCC,317,11,16,8,0,0,0,352
33,methoxymethane,COC,108,81,0,145,0,0,0,334
18,"1,2-propanediol",CC(O)CO,272,12,40,6,0,0,2,332
19,benzene,c1ccccc1,251,6,45,0,0,0,1,303
20,hexane,CCCCCC,196,0,93,0,0,0,0,289
21,"1,2-dimethoxyethane",COCCOC,193,0,70,9,0,0,0,272
23,"1,2-butanediol",CCC(O)CO,157,31,60,0,0,0,0,248
22,1-nonanol,CCCCCCCCCO,184,0,62,0,0,0,0,246
26,"1,3-propanediol",OCCCO,136,47,56,0,0,0,0,239
39,"1,4-butanediol",OCCCCO,98,68,46,0,0,0,0,212
61,2-methyl-2-butanol,CCC(C)(C)O,37,88,43,0,0,0,0,168
29,"1,4-dimethylbenzene",Cc1ccc(C)cc1,116,3,43,0,0,0,0,162
45,"2,5,8-trioxanonane",COCCOCCOC,80,0,71,9,0,0,0,160
24,2-hexanol,CCCCC(C)O,154,0,2,0,0,0,0,156
124,3-pentanol,CCC(O)CC,3,65,80,0,6,0,0,154
25,methylcyclohexane,CC1CCCCC1,142,0,8,0,0,0,0,150
28,"2,5-dimethylfuran",Cc1oc(C)cc1,119,0,25,0,0,0,0,144
41,tetrahydrofuran,C1CCOC1,96,0,43,0,0,1,0,140
31,2-methylfuran,Cc1occc1,109,0,25,0,0,0,0,134
84,2-methyl-1-butanol,CCC(C)CO,11,73,43,0,0,0,0,127
30,ethylbenzene,CCc1ccccc1,110,0,14,0,0,0,0,124
71,hexylene glycol,OCCCCCCO,23,51,49,0,0,0,0,123
103,cyclopentanol,OC1CCCC1,6,72,43,0,0,0,0,121
27,dimethoxymethane,COCOC,119,0,0,0,0,0,0,119
32,furan,o1cccc1,108,0,11,0,0,0,0,119
34,2-methylheptane,CCCCCC(C)C,107,10,0,0,0,0,0,117
40,bis(2-hydroxyethyl) ether,OCCOCCO,96,6,12,3,0,0,0,117
43,xylene,Cc1ccccc1C,83,3,31,0,0,0,0,117
47,"1,4-dioxane",C1COCCO1,77,0,32,3,0,0,0,112
44,triethylene glycol,OCCOCCOCCO,81,6,12,3,0,0,0,102
35,"2,3-dimethylbutane",CC(C)C(C)C,101,0,0,0,0,0,0,101
36,"2,2-dimethylbutane",CCC(C)(C)C,101,0,0,0,0,0,0,101
37,3-methylpentane,CCC(C)CC,100,0,0,0,0,0,0,100
38,2-methylpentane,CCCC(C)C,100,0,0,0,0,0,0,100
48,"1,3-dimethylbenzene",Cc1cccc(C)c1,76,0,22,0,0,0,0,98
68,"1,3-butanediol",CC(O)CCO,26,8,63,0,0,0,0,97
42,dibutyl ether,CCCCOCCCC,83,0,6,5,0,0,0,94
53,methyl tert-butyl ether,COC(C)(C)C,59,0,33,0,0,0,0,92
49,butan-2-ol,CCC(C)O,75,0,13,0,0,0,0,88
50,2-methyl-2-propanol,CC(C)(C)O,65,0,16,0,0,0,0,81
157,3-methyl-3-pentanol,CCC(C)(O)CC,0,0,80,0,0,0,0,80
158,3-ethyl-3-pentanol,CCC(O)(CC)CC,0,0,80,0,0,0,0,80
46,trans-decalin,C1CC[C@@H]2CCCC[C@H]2C1,78,0,1,0,0,0,0,79
67,2-pentanol,CCCC(C)O,26,47,6,0,0,0,0,79
77,2-ethyl-1-butanol,CCC(CC)CO,15,7,48,0,0,0,0,70
51,methoxybenzene,COc1ccccc1,63,0,6,0,0,0,0,69
56,isopropyl ether,CC(C)OC(C)C,47,0,22,0,0,0,0,69
143,neopentyl alcohol,CC(C)(C)CO,0,61,0,0,5,0,0,66
62,tetrahydropyran,C1CCOCC1,35,11,19,0,0,0,0,65
52,diethyl ether,CCOCC,61,0,1,0,0,0,0,62
54,2-methylpropane,CC(C)C,58,0,0,0,0,0,0,58
57,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,45,0,12,0,0,0,0,57
64,tert-butyl ethyl ether,CCOC(C)(C)C,32,0,24,0,0,0,0,56
55,butane,CCCC,50,0,0,0,0,0,0,50
59,benzyl alcohol,OCc1ccccc1,37,0,10,0,0,0,0,47
58,glycerol,OCC(O)CO,43,0,0,2,0,0,0,45
63,2-methoxyethanol,COCCO,35,0,10,0,0,0,0,45
131,"1,5-pentanediol",OCCCCCO,1,42,2,0,0,0,0,45
60,3-methyl-1-butanol,CC(C)CCO,37,0,4,0,0,0,0,41
144,"1,7-heptanediol",OCCCCCCCO,0,41,0,0,0,0,0,41
66,"ethanol, 2-ethoxy-",CCOCCO,28,0,11,0,0,0,0,39
65,2-ethyl-1-hexanol,CCCCC(CC)CO,29,0,4,3,0,0,0,36
73,cyclopentane,C1CCCC1,18,0,15,0,0,0,0,33
145,3-methyl-2-butanol,CC(C)C(C)O,0,30,0,0,0,0,0,30
75,2-phenylethanol,OCCc1ccccc1,17,0,12,0,0,0,0,29
69,"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,25,0,3,0,0,0,0,28
70,ethane,CC,25,0,0,0,0,0,0,25
72,2-butoxyethanol,CCCCOCCO,20,0,5,0,0,0,0,25
82,"1,2,3,4-tetrahydronaphthalene",C1CCc2ccccc2C1,12,0,13,0,0,0,0,25
80,"1,3-dioxolane",C1COCO1,13,0,11,0,0,0,0,24
110,"propanol, oxybis-",OCCCOCCCO,5,18,0,0,0,0,0,23
87,2-methyltetrahydrofuran,CC1CCCO1,10,8,4,0,0,0,0,22
146,ribitol,OC[C@@H](O)[C@@H](O)[C@@H](O)CO,0,17,0,0,5,0,0,22
76,"1,2-hexanediol",CCCCC(O)CO,15,5,0,0,0,0,0,20
85,1-propoxy-2-propanol,CCCOCC(C)O,10,0,10,0,0,0,0,20
74,exo-tetrahydrodicyclopentadiene,C1CC2C3CCC(C3)C2C1,18,0,0,0,0,0,0,18
126,"2,3-butanediol",CC(O)C(C)O,3,12,2,0,0,0,0,17
81,cyclooctane,C1CCCCCCC1,12,0,4,0,0,0,0,16
78,pentane,CCCCC,15,0,0,0,0,0,0,15
79,"1,2,4-trimethylbenzene",CC1=CC(=C(C)C=C1)C,14,0,0,0,0,0,0,14
83,2-heptanol,CCCCCC(C)O,11,1,2,0,0,0,0,14
86,2-(2-methoxyethoxy)ethanol,COCCOCCO,10,0,4,0,0,0,0,14
89,1-methoxy-2-propanol,COCC(C)O,9,0,5,0,0,0,0,14
147,"1,8-octanediol",OCCCCCCCCO,0,14,0,0,0,0,0,14
97,cyclohexyl alcohol,OC1CCCCC1,8,0,5,0,0,0,0,13
98,isopropylbenzene,CC(C)c1ccccc1,7,0,4,0,0,0,0,11
88,cyclohexene oxide,C1CCC2OC2C1,10,0,0,0,0,0,0,10
106,1-butoxy-2-propanol,CCCCOCC(C)O,5,0,5,0,0,0,0,10
109,propylene glycol monoethyl ether,CCOCC(C)O,5,0,5,0,0,0,0,10
111,"3,6-dioxa-1-octanol",CCOCCOCCO,5,0,5,0,0,0,0,10
112,2-butoxy-1-propanol,CCCCOC(C)CO,5,0,5,0,0,0,0,10
90,4-methylphenol,Cc1ccc(O)cc1,9,0,0,0,0,0,0,9
91,dipropyl ether,CCCOCCC,9,0,0,0,0,0,0,9
92,butyl isobutyl ether,CCCCOCC(C)C,8,0,0,0,0,0,0,8
93,"ether, ethyl butyl",CCCCOCC,8,0,0,0,0,0,0,8
94,ethyl hexyl ether,CCCCCCOCC,8,0,0,0,0,0,0,8
95,3-methylphenol,Cc1cccc(O)c1,8,0,0,0,0,0,0,8
96,pentyl propyl ether,CCCCCOCCC,8,0,0,0,0,0,0,8
113,butylbenzene,CCCCc1ccccc1,5,0,3,0,0,0,0,8
129,2-octanol,CCCCCCC(C)O,2,1,5,0,0,0,0,8
114,"ethanol, 2-propoxy-",CCCOCCO,4,0,0,3,0,0,0,7
99,propylbenzene,CCCc1ccccc1,6,0,0,0,0,0,0,6
100,"2,5-hexanediol",CC(O)CCC(C)O,6,0,0,0,0,0,0,6
101,ethylcyclohexane,CCC1CCCCC1,6,0,0,0,0,0,0,6
102,"1,2,4-trimethylcyclohexane",CC1CCC(C)C(C)C1,6,0,0,0,0,0,0,6
104,"1,5-hexanediol",CC(O)CCCCO,6,0,0,0,0,0,0,6
105,butylcyclohexane,CCCCC1CCCCC1,6,0,0,0,0,0,0,6
107,"1,2-pentanediol",CCCC(O)CO,5,1,0,0,0,0,0,6
120,methylcyclopentane,CC1CCCC1,3,0,3,0,0,0,0,6
123,isobutylbenzene,CC(C)Cc1ccccc1,3,0,3,0,0,0,0,6
148,"cis-1,2-cyclohexanediol",O[C@H]1CCCC[C@H]1O,0,6,0,0,0,0,0,6
108,.alpha.-methylbenzyl alcohol,CC(O)c1ccccc1,5,0,0,0,0,0,0,5
159,2-methyloctane,CCCCCCC(C)C,0,0,5,0,0,0,0,5
160,"nonane, 2-methyl-",CCCCCCCC(C)C,0,0,5,0,0,0,0,5
161,4-methyloctane,CCCCC(C)CCC,0,0,5,0,0,0,0,5
162,"octane, 3,6-dimethyl-",CCC(C)CCC(C)CC,0,0,5,0,0,0,0,5
163,"heptane, 3,5-dimethyl-",CCC(C)CC(C)CC,0,0,5,0,0,0,0,5
115,ethoxybenzene,CCOc1ccccc1,4,0,0,0,0,0,0,4
122,tert-amyl methyl ether,CCC(C)(C)OC,3,0,1,0,0,0,0,4
116,4-methyl-2-pentanol,CC(C)CC(C)O,3,0,0,0,0,0,0,3
117,2-methyl-1-pentanol,CCCC(C)CO,3,0,0,0,0,0,0,3
118,2-methyl-2-pentanol,CCCC(C)(C)O,3,0,0,0,0,0,0,3
119,paraldehyde,CC1OC(C)OC(C)O1,3,0,0,0,0,0,0,3
121,"2,2-dimethoxypropane",COC(C)(C)OC,3,0,0,0,0,0,0,3
125,3-hexanol,CCCC(O)CC,3,0,0,0,0,0,0,3
127,"1,1-diethoxyethane",CCOC(C)OCC,3,0,0,0,0,0,0,3
128,phenol,Oc1ccccc1,2,0,0,0,0,0,0,2
130,"butane, 2-ethoxy-2-methyl-",CCOC(C)(C)CC,2,0,0,0,0,0,0,2
135,"furfuryl alcohol, tetrahydro-",OCC1CCCO1,1,0,1,0,0,0,0,2
139,2-hydroxymethylfuran,OCc1occc1,1,0,1,0,0,0,0,2
140,dipropylene glycol monomethyl ether,COC(C)COC(C)CO,1,0,1,0,0,0,0,2
141,2-isopropoxyethanol,CC(C)OCCO,1,0,1,0,0,0,0,2
132,"2,2-dimethyl-1,3-dioxolane",CC1(C)OCCO1,1,0,0,0,0,0,0,1
133,butyl tert-butyl ether,CCCCOC(C)(C)C,1,0,0,0,0,0,0,1
134,"3,6-dioxaoctane",CCOCCOCC,1,0,0,0,0,0,0,1
136,1-ethyl-2-methylbenzene,CCc1ccccc1C,1,0,0,0,0,0,0,1
137,3-phenyl-1-propanol,OCCCc1ccccc1,1,0,0,0,0,0,0,1
138,2-(2-propoxyethoxy)ethanol,CCCOCCOCCO,1,0,0,0,0,0,0,1
142,"2,2-dimethyl-1,3-dioxolane-4-methanol",CC1(C)OCC(CO)O1,1,0,0,0,0,0,0,1
149,"1,4-cyclohexanediol, trans-",O[C@@H]1CC[C@@H](O)CC1,0,1,0,0,0,0,0,1
150,5-nonanol,CCCCC(O)CCCC,0,1,0,0,0,0,0,1
151,4-heptanol,CCCC(O)CCC,0,1,0,0,0,0,0,1
152,3-nonanol,CCCCCCC(O)CC,0,1,0,0,0,0,0,1
153,3-octanol,CCCCCC(O)CC,0,1,0,0,0,0,0,1
154,4-nonanol,CCCCCC(O)CCC,0,1,0,0,0,0,0,1
155,2-nonanol,CCCCCCCC(C)O,0,1,0,0,0,0,0,1
156,4-octanol,CCCCC(O)CCC,0,1,0,0,0,0,0,1
