;InChI;Count;Component;SMILES
0;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;9289;Decane;CCCCCCCCCC
1;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;1327;Butan-1-ol;CCCCO
2;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1254;HEPTANE;CCCCCCC
3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;1169;ethanol;CCO
4;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;721;2-Methylpropan-1-ol;CC(C)CO
5;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;664;HEXAN-1-OL;CCCCCCO
6;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;659;Propan-1-ol;CCCO
7;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;641;methylbenzene;Cc1ccccc1
8;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;634;oxidane;O
9;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;606;methanol;CO
10;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;396;Pentan-1-ol;CCCCCO
11;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;368;Cyclohexane;C1CCCCC1
12;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;357;Propan-2-ol;CC(C)O
13;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;356;OCTAN-1-OL;CCCCCCCCO
14;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;317;octane;CCCCCCCC
15;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;314;Ethane-1,2-diol;OCCO
16;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;313;Heptan-1-ol;CCCCCCCO
17;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;273;Nonane;CCCCCCCCC
18;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;272;PROPANE-1,2-DIOL;CC(O)CO
19;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;251;BENZENE;c1ccccc1
20;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;196;Hexane;CCCCCC
21;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;193;1,2-Dimethoxyethane;COCCOC
22;InChIKey=ZWRUINPWMLAQRD-UHFFFAOYSA-N;184;Nonan-1-ol;CCCCCCCCCO
23;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;157;butane-1,2-diol;CCC(O)CO
24;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;154;hexan-2-ol;CCCCC(C)O
25;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;142;Methylcyclohexane;CC1CCCCC1
26;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;136;Propane-1,3-diol;OCCCO
27;InChIKey=GSNUFIFRDBKVIE-UHFFFAOYSA-N;119;2,5-Dimethylfuran;Cc1oc(C)cc1
28;InChIKey=NKDDWNXOKDWJAK-UHFFFAOYSA-N;119;Dimethoxymethane;COCOC
29;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;116;1,4-Dimethylbenzene;Cc1ccc(C)cc1
30;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;110;Ethylbenzene;CCc1ccccc1
31;InChIKey=VQKFNUFAXTZWDK-UHFFFAOYSA-N;109;2-Methylfuran;Cc1occc1
32;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;108;Methoxymethane;COC
33;InChIKey=YLQBMQCUIZJEEH-UHFFFAOYSA-N;108;FURAN;o1cccc1
34;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;107;2-Methylheptane;CCCCCC(C)C
35;InChIKey=ZFFMLCVRJBZUDZ-UHFFFAOYSA-N;101;2,3-Dimethylbutane;CC(C)C(C)C
36;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;101;2,2-Dimethylbutane;CCC(C)(C)C
37;InChIKey=PFEOZHBOMNWTJB-UHFFFAOYSA-N;100;3-Methylpentane;CCC(C)CC
38;InChIKey=AFABGHUZZDYHJO-UHFFFAOYSA-N;100;2-Methylpentane;CCCC(C)C
39;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;98;Butane-1,4-diol;OCCCCO
40;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;96;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
41;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;96;Oxolane;C1CCOC1
42;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;83;1-Butoxybutane;CCCCOCCCC
43;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;83;1,2-Dimethylbenzene;Cc1ccccc1C
44;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;81;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
45;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;80;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
46;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;77;1,4-Dioxane;C1COCCO1
47;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;76;1,3-Dimethylbenzene;Cc1cccc(C)c1
48;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;75;Butan-2-ol;CCC(C)O
49;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;65;2-Methylpropan-2-ol;CC(C)(C)O
50;InChIKey=RDOXTESZEPMUJZ-UHFFFAOYSA-N;63;Methoxybenzene;COc1ccccc1
51;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;61;Ethoxyethane;CCOCC
52;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;59;2-Methoxy-2-methylpropane;COC(C)(C)C
53;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;58;2-Methylpropane;CC(C)C
54;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;50;BUTANE;CCCC
55;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;47;2-propan-2-yloxypropane;CC(C)OC(C)C
56;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;45;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
57;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;43;PROPANE-1,2,3-TRIOL;OCC(O)CO
58;InChIKey=NNBZCPXTIHJBJL-MGCOHNPYSA-N;39;;C1CC[C@H]2CCCC[C@@H]2C1
59;InChIKey=NNBZCPXTIHJBJL-AOOOYVTPSA-N;39;;C1CC[C@@H]2CCCC[C@@H]2C1
60;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;37;3-Methylbutan-1-ol;CC(C)CCO
61;InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N;37;phenylmethanol;OCc1ccccc1
62;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;37;2-Methylbutan-2-ol;CCC(C)(C)O
63;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;35;2-Methoxyethanol;COCCO
64;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;35;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
65;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;32;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
66;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;29;2-Ethylhexan-1-ol;CCCCC(CC)CO
67;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;28;2-Ethoxyethanol;CCOCCO
68;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;26;pentan-2-ol;CCCC(C)O
69;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;26;Butane-1,3-diol;CC(O)CCO
70;InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N;25;ETHANE;CC
71;InChIKey=AUHZEENZYGFFBQ-UHFFFAOYSA-N;25;1,3,5-Trimethylbenzene;Cc1cc(C)cc(C)c1
72;InChIKey=XXMIOPMDWAUFGU-UHFFFAOYSA-N;23;HEXANE-1,6-DIOL;OCCCCCCO
73;InChIKey=POAOYUHQDCAZBD-UHFFFAOYSA-N;20;2-Butoxyethanol;CCCCOCCO
74;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;18;Cyclopentane;C1CCCC1
75;InChIKey=LPSXSORODABQKT-UHFFFAOYSA-N;18;;C1CC2C3CCC(C3)C2C1
76;InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N;17;2-PHENYLETHANOL;OCCc1ccccc1
77;InChIKey=TZYRSLHNPKPEFV-UHFFFAOYSA-N;15;2-Ethylbutan-1-ol;CCC(CC)CO
78;InChIKey=FHKSXSQHXQEMOK-UHFFFAOYSA-N;15;hexane-1,2-diol;CCCCC(O)CO
79;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;15;Pentane;CCCCC
80;InChIKey=GWHJZXXIDMPWGX-UHFFFAOYSA-N;14;1,2,4-Trimethylbenzene;Cc1ccc(C)c(C)c1
81;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;13;1,3-DIOXOLANE;C1COCO1
82;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;12;;C1CCCCCCC1
83;InChIKey=CXWXQJXEFPUFDZ-UHFFFAOYSA-N;12;1,2,3,4-Tetrahydronaphthalene;C1CCc2ccccc2C1
84;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;11;heptan-2-ol;CCCCCC(C)O
85;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;11;2-Methylbutan-1-ol;CCC(C)CO
86;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;10;2-Methyloxolane;CC1CCCO1
87;InChIKey=SBASXUCJHJRPEV-UHFFFAOYSA-N;10;2-(2-Methoxyethoxy)ethanol;COCCOCCO
88;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;10;1-Propoxypropan-2-ol;CCCOCC(C)O
89;InChIKey=ZWAJLVLEBYIOTI-UHFFFAOYSA-N;10;7-Oxabicyclo[4.1.0]heptane;C1CCC2OC2C1
90;InChIKey=POLCUAVZOMRGSN-UHFFFAOYSA-N;9;1-propoxypropane;CCCOCCC
91;InChIKey=ARXJGSRGQADJSQ-UHFFFAOYSA-N;9;1-Methoxypropan-2-ol;COCC(C)O
92;InChIKey=IWDCLRJOBJJRNH-UHFFFAOYSA-N;9;4-Methylphenol;Cc1ccc(O)cc1
93;InChIKey=VDHBXQMYKGNZRP-UHFFFAOYSA-N;8;1-butoxy-2-methylpropane;CCCCOCC(C)C
94;InChIKey=PZHIWRCQKBBTOW-UHFFFAOYSA-N;8;1-ethoxybutane;CCCCOCC
95;InChIKey=HPXRVTGHNJAIIH-UHFFFAOYSA-N;8;Cyclohexanol;OC1CCCCC1
96;InChIKey=RLSSMJSEOOYNOY-UHFFFAOYSA-N;8;3-methylphenol;Cc1cccc(O)c1
97;InChIKey=ZXHQLEQLZPJIFG-UHFFFAOYSA-N;8;1-ethoxyhexane;CCCCCCOCC
98;InChIKey=DMUSSSYUUUYJRM-UHFFFAOYSA-N;8;1-propoxypentane;CCCCCOCCC
99;InChIKey=RWGFKTVRMDUZSP-UHFFFAOYSA-N;7;;CC(C)c1ccccc1
100;InChIKey=GGBJHURWWWLEQH-UHFFFAOYSA-N;6;Butylcyclohexane;CCCCC1CCCCC1
101;InChIKey=OHMBHFSEKCCCBW-UHFFFAOYSA-N;6;hexane-2,5-diol;CC(O)CCC(C)O
102;InChIKey=UNVGBIALRHLALK-UHFFFAOYSA-N;6;Hexane-1,5-diol;CC(O)CCCCO
103;InChIKey=XCIXKGXIYUWCLL-UHFFFAOYSA-N;6;Cyclopentanol;OC1CCCC1
104;InChIKey=ODLMAHJVESYWTB-UHFFFAOYSA-N;6;Propylbenzene;CCCc1ccccc1
105;InChIKey=IIEWJVIFRVWJOD-UHFFFAOYSA-N;6;Ethylcyclohexane;CCC1CCCCC1
106;InChIKey=VCJPCEVERINRSG-UHFFFAOYSA-N;6;1,2,4-Trimethylcyclohexane;CC1CCC(C)C(C)C1
107;InChIKey=JOLQKTGDSGKSKJ-UHFFFAOYSA-N;5;1-Ethoxypropan-2-ol;CCOCC(C)O
108;InChIKey=SZXQTJUDPRGNJN-UHFFFAOYSA-N;5;3-(3-hydroxypropoxy)propan-1-ol;OCCCOCCCO
109;InChIKey=WCVRQHFDJLLWFE-UHFFFAOYSA-N;5;Pentane-1,2-diol;CCCC(O)CO
110;InChIKey=XXJWXESWEXIICW-UHFFFAOYSA-N;5;2-(2-Ethoxyethoxy)ethanol;CCOCCOCCO
111;InChIKey=WAPNOHKVXSQRPX-UHFFFAOYSA-N;5;1-Phenylethanol;CC(O)c1ccccc1
112;InChIKey=OCKPCBLVNKHBMX-UHFFFAOYSA-N;5;Butylbenzene;CCCCc1ccccc1
113;InChIKey=WGKZYJXRTIPTCV-UHFFFAOYSA-N;5;2-butoxypropan-1-ol;CCCCOC(C)CO
114;InChIKey=RWNUSVWFHDHRCJ-UHFFFAOYSA-N;5;1-Butoxypropan-2-ol;CCCCOCC(C)O
115;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;4;2-Propoxyethanol;CCCOCCO
116;InChIKey=DLRJIFUOBPOJNS-UHFFFAOYSA-N;4;Ethoxybenzene;CCOc1ccccc1
117;InChIKey=DHKHKXVYLBGOIT-UHFFFAOYSA-N;3;1,1-Diethoxyethane;CCOC(C)OCC
118;InChIKey=KXUHSQYYJYAXGZ-UHFFFAOYSA-N;3;2-methylpropylbenzene;CC(C)Cc1ccccc1
119;InChIKey=ZOCHHNOQQHDWHG-UHFFFAOYSA-N;3;Hexan-3-ol;CCCC(O)CC
120;InChIKey=SQYNKIJPMDEDEG-UHFFFAOYSA-N;3;2,4,6-Trimethyl-1,3,5-trioxane;CC1OC(C)OC(C)O1
121;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;3;Pentan-3-ol;CCC(O)CC
122;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;3;Methylcyclopentane;CC1CCCC1
123;InChIKey=WVYWICLMDOOCFB-UHFFFAOYSA-N;3;4-Methylpentan-2-ol;CC(C)CC(C)O
124;InChIKey=HEWZVZIVELJPQZ-UHFFFAOYSA-N;3;2,2-Dimethoxypropane;COC(C)(C)OC
125;InChIKey=OWBTYPJTUOEWEK-UHFFFAOYSA-N;3;;CC(O)C(C)O
126;InChIKey=WFRBDWRZVBPBDO-UHFFFAOYSA-N;3;2-Methylpentan-2-ol;CCCC(C)(C)O
127;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;3;2-Methoxy-2-methylbutane;CCC(C)(C)OC
128;InChIKey=PFNHSEQQEPMLNI-UHFFFAOYSA-N;3;2-Methylpentan-1-ol;CCCC(C)CO
129;InChIKey=KFRVYYGHSPLXSZ-UHFFFAOYSA-N;2;2-Ethoxy-2-methylbutane;CCOC(C)(C)CC
130;InChIKey=SJWFXCIHNDVPSH-UHFFFAOYSA-N;2;octan-2-ol;CCCCCCC(C)O
131;InChIKey=ISWSIDIOOBJBQZ-UHFFFAOYSA-N;2;PHENOL;Oc1ccccc1
132;InChIKey=XPFVYQJUAUNWIW-UHFFFAOYSA-N;1;furan-2-ylmethanol;OCc1occc1
133;InChIKey=HYFLWBNQFMXCPA-UHFFFAOYSA-N;1;1-Ethyl-2-methylbenzene;CCc1ccccc1C
134;InChIKey=SIJBDWPVNAYVGY-UHFFFAOYSA-N;1;2,2-Dimethyl-1,3-dioxolane;CC1(C)OCCO1
135;InChIKey=RNVYQYLELCKWAN-UHFFFAOYSA-N;1;(2,2-Dimethyl-1,3-dioxolan-4-yl)methanol;CC1(C)OCC(CO)O1
136;InChIKey=DJCYDDALXPHSHR-UHFFFAOYSA-N;1;2-(2-Propoxyethoxy)ethanol;CCCOCCOCCO
137;InChIKey=BSYVTEYKTMYBMK-UHFFFAOYSA-N;1;oxolan-2-ylmethanol;OCC1CCCO1
138;InChIKey=VAJVDSVGBWFCLW-UHFFFAOYSA-N;1;3-Phenylpropan-1-ol;OCCCc1ccccc1
139;InChIKey=LZDKZFUFMNSQCJ-UHFFFAOYSA-N;1;1,2-Diethoxyethane;CCOCCOCC
140;InChIKey=CUDYYMUUJHLCGZ-UHFFFAOYSA-N;1;2-(2-methoxypropoxy)propan-1-ol;COC(C)COC(C)CO
141;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;1;2-propan-2-yloxyethanol;CC(C)OCCO
142;InChIKey=JJNQHLLBFBGKEL-UHFFFAOYSA-N;1;2-butoxy-2-methylpropane;CCCCOC(C)(C)C
143;InChIKey=ALQSHHUCVQOPAS-UHFFFAOYSA-N;1;Pentane-1,5-diol;OCCCCCO
