;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Speed of sound, m/s;Speed of sound, m/s_std
41468;j.jct.2005.06.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1268.0;2.0
41498;j.jct.2005.06.011;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1161.0;2.0
55403;j.jct.2005.10.009;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;293.13;101.325;1151.92;0.5
55404;j.jct.2005.10.009;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.12;101.325;1130.26;0.5
55405;j.jct.2005.10.009;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;303.1;101.325;1108.78;0.5
55406;j.jct.2005.10.009;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.07;101.325;1087.47;0.5
55407;j.jct.2005.10.009;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.03;101.325;1066.28;0.5
55408;j.jct.2005.10.009;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;318.33;101.325;1043.9;0.5
63772;j.jct.2006.03.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1144.0;1.144
63773;j.jct.2006.03.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;308.15;101.0;1111.0;1.111
63784;j.jct.2006.03.010;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1235.0;1.235
63785;j.jct.2006.03.010;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;308.15;101.0;1210.0;1.21
64879;j.jct.2006.03.018;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1161.0;2.0
64909;j.jct.2006.03.018;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1246.0;2.0
73803;j.jct.2006.06.008;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;293.15;101.0;1257.0;0.1
73804;j.jct.2006.06.008;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1240.0;0.1
73805;j.jct.2006.06.008;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;303.15;101.0;1224.0;0.1
73812;j.jct.2006.06.008;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;101.0;1162.0;0.1
73813;j.jct.2006.06.008;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1145.0;0.1
73814;j.jct.2006.06.008;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.0;1128.0;0.1
79689;j.jct.2006.08.003;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1496.74;0.5
79690;j.jct.2006.08.003;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1571.73;0.5
91610;j.jct.2006.10.017;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;101.0;1160.0;1.0
91611;j.jct.2006.10.017;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1143.0;1.0
91612;j.jct.2006.10.017;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.0;1127.0;1.0
99998;j.jct.2007.02.002;methyl tert-butyl ether;COC(C)(C)C;1634-04-4;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;288.15;101.325;1082.4;0.0
99999;j.jct.2007.02.002;methyl tert-butyl ether;COC(C)(C)C;1634-04-4;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;293.15;101.325;1059.4;0.0
100000;j.jct.2007.02.002;methyl tert-butyl ether;COC(C)(C)C;1634-04-4;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;298.15;101.325;1036.1;0.0
100001;j.jct.2007.02.002;methyl tert-butyl ether;COC(C)(C)C;1634-04-4;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;303.15;101.325;1013.0;0.0
100002;j.jct.2007.02.002;methyl tert-butyl ether;COC(C)(C)C;1634-04-4;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;308.15;101.325;990.1;0.0
100008;j.jct.2007.02.002;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;288.15;101.325;1273.7;0.0
100009;j.jct.2007.02.002;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;293.15;101.325;1257.0;0.0
100010;j.jct.2007.02.002;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.325;1239.8;0.0
100011;j.jct.2007.02.002;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;303.15;101.325;1222.7;0.0
100012;j.jct.2007.02.002;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;308.15;101.325;1205.9;0.0
101008;j.jct.2007.02.008;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;101.0;1160.0;0.0
101009;j.jct.2007.02.008;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1143.0;0.0
101010;j.jct.2007.02.008;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.0;1127.0;0.0
101062;j.jct.2007.02.008;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;293.15;101.0;1153.0;0.0
101063;j.jct.2007.02.008;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.15;101.0;1131.0;0.0
101064;j.jct.2007.02.008;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;303.15;101.0;1110.0;0.0
105512;j.jct.2007.04.006;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.325;1143.39;0.5
107067;j.jct.2007.05.005;2,2,4-trimethylpentane;CC(C)CC(C)(C)C;31921-36-5;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;288.15;101.3;1124.31;1.0
107068;j.jct.2007.05.005;2,2,4-trimethylpentane;CC(C)CC(C)(C)C;31921-36-5;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;298.15;101.3;1082.2;1.0
107069;j.jct.2007.05.005;2,2,4-trimethylpentane;CC(C)CC(C)(C)C;31921-36-5;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;323.15;101.3;979.25;1.0
107091;j.jct.2007.05.005;2-methyl-2-propanol;CC(C)(C)O;75-65-0;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;303.15;101.3;1098.21;1.0
107092;j.jct.2007.05.005;2-methyl-2-propanol;CC(C)(C)O;75-65-0;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;313.15;101.3;1055.36;1.0
107093;j.jct.2007.05.005;2-methyl-2-propanol;CC(C)(C)O;75-65-0;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;323.15;101.3;1013.01;1.0
107097;j.jct.2007.05.005;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;288.15;101.3;1177.3;1.0
107098;j.jct.2007.05.005;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.3;1142.4;1.0
107099;j.jct.2007.05.005;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;323.15;101.3;1059.32;1.0
111548;j.jct.2007.05.016;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1240.5;7.41216
111549;j.jct.2007.05.016;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;303.15;101.0;1226.5;7.41216
111550;j.jct.2007.05.016;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;308.15;101.0;1209.8;7.41216
111551;j.jct.2007.05.016;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1240.4;7.41216
139153;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;292.83;101.0;1153.15;0.5
139154;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.12;101.0;1130.11;0.5
139155;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;303.1;101.0;1108.55;0.5
139156;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.08;101.0;1086.97;0.5
139157;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.06;101.0;1065.59;0.5
139158;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;318.35;101.0;1043.05;0.5
139159;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;292.89;15200.0;1257.03;0.5
139160;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;292.89;30390.0;1342.44;0.5
139161;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;292.88;45590.0;1417.74;0.5
139162;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;292.88;60790.0;1485.51;0.5
139163;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;292.88;75990.0;1547.22;0.5
139164;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;292.88;91180.0;1605.01;0.5
139165;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;292.88;101320.0;1641.16;0.5
139166;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.15;15200.0;1236.71;0.5
139167;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.15;30390.0;1323.71;0.5
139168;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.15;45590.0;1400.07;0.5
139169;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.15;60790.0;1469.06;0.5
139170;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.16;75990.0;1531.64;0.5
139171;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.15;91180.0;1589.69;0.5
139172;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.15;101320.0;1626.37;0.5
139173;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;303.15;15200.0;1217.79;0.5
139174;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;303.14;30390.0;1306.4;0.5
139175;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;303.14;45590.0;1383.71;0.5
139176;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;303.13;60790.0;1453.51;0.5
139177;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;303.14;75990.0;1517.05;0.5
139178;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;303.13;91180.0;1575.64;0.5
139179;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;303.13;101320.0;1612.63;0.5
139180;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.13;15200.0;1199.18;0.5
139181;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.13;30390.0;1289.35;0.5
139182;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.12;45590.0;1367.92;0.5
139183;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.13;60790.0;1438.41;0.5
139184;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.12;75990.0;1502.72;0.5
139185;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.12;91180.0;1561.51;0.5
139186;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.12;101320.0;1599.11;0.5
139187;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.11;15200.0;1180.69;0.5
139188;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.1;30390.0;1272.52;0.5
139189;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.1;45590.0;1352.49;0.5
139190;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.1;60790.0;1423.83;0.5
139191;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.1;75990.0;1488.71;0.5
139192;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.1;91180.0;1548.07;0.5
139193;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.1;101320.0;1585.66;0.5
139194;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;318.28;15200.0;1161.79;0.5
139195;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;318.28;30390.0;1255.32;0.5
139196;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;318.28;45590.0;1336.49;0.5
139197;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;318.28;60790.0;1408.63;0.5
139198;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;318.28;75990.0;1474.4;0.5
139199;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;318.28;91180.0;1534.29;0.5
139200;j.jct.2008.05.014;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;318.28;101320.0;1572.33;0.5
156725;j.jct.2009.01.008;2,2,4-trimethylpentane;CC(C)CC(C)(C)C;31921-36-5;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;298.15;101.0;1082.8;0.5
156726;j.jct.2009.01.008;2,2,4-trimethylpentane;CC(C)CC(C)(C)C;31921-36-5;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;308.15;101.0;1041.1;0.5
156727;j.jct.2009.01.008;2,2,4-trimethylpentane;CC(C)CC(C)(C)C;31921-36-5;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;318.15;101.0;1000.0;0.5
156728;j.jct.2009.01.008;2,2,4-trimethylpentane;CC(C)CC(C)(C)C;31921-36-5;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;328.15;101.0;958.4;0.5
156733;j.jct.2009.01.008;methyl tert-butyl ether;COC(C)(C)C;1634-04-4;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;298.15;101.0;1036.4;0.5
156734;j.jct.2009.01.008;methyl tert-butyl ether;COC(C)(C)C;1634-04-4;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;308.15;101.0;990.8;0.5
156735;j.jct.2009.01.008;methyl tert-butyl ether;COC(C)(C)C;1634-04-4;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;318.15;101.0;945.3;0.5
157085;j.jct.2009.01.010;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1496.6;0.5
162822;j.jct.2009.06.001;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.15;101.325;1131.42;0.8
172982;j.jct.2009.08.016;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.325;1144.7;0.2
172983;j.jct.2009.08.016;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;313.15;101.325;1094.1;0.2
172988;j.jct.2009.08.016;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.325;1239.7;0.2
172989;j.jct.2009.08.016;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;313.15;101.325;1189.8;0.2
190089;j.jct.2010.05.016;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1141.8;3.4254
190093;j.jct.2010.05.016;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1241.3;3.7239
194430;j.jct.2010.07.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.325;1127.2;0.5
194431;j.jct.2010.07.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;313.15;101.325;1093.64;0.5
194432;j.jct.2010.07.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;323.15;101.325;1060.44;0.5
211864;j.jct.2011.01.005;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.325;1239.0;0.1
213292;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;323.15;101.0;1542.13;0.5
213293;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;320.65;101.0;1539.6;0.5
213294;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;318.15;101.0;1536.62;0.5
213295;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;315.65;101.0;1533.2;0.5
213296;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;313.15;101.0;1529.34;0.5
213297;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;310.65;101.0;1525.04;0.5
213298;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.0;1520.3;0.5
213299;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;305.65;101.0;1515.11;0.5
213300;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.0;1509.48;0.5
213301;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;300.65;101.0;1503.41;0.5
213302;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1496.89;0.5
213303;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;295.65;101.0;1489.93;0.5
213304;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.0;1482.53;0.5
213305;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;290.65;101.0;1474.69;0.5
213306;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.15;101.0;1466.4;0.5
213352;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;323.15;101.0;1059.58;0.5
213353;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;320.65;101.0;1067.9;0.5
213354;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;318.15;101.0;1076.22;0.5
213355;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;315.65;101.0;1084.53;0.5
213356;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;313.15;101.0;1092.85;0.5
213357;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;310.65;101.0;1101.24;0.5
213358;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;308.15;101.0;1109.66;0.5
213359;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;305.65;101.0;1118.06;0.5
213360;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.0;1126.5;0.5
213361;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;300.65;101.0;1134.98;0.5
213362;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1143.5;0.5
213363;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;295.65;101.0;1152.03;0.5
213364;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;101.0;1160.63;0.5
213365;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;290.65;101.0;1169.17;0.5
