;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Speed of sound, m/s;Speed of sound, m/s_std
213366;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;288.15;101.0;1177.84;0.5
239417;j.jct.2011.08.028;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1144.0;1.0
240693;j.jct.2011.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;283.15;101.0;1447.31;0.5
240694;j.jct.2011.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.15;101.0;1465.93;0.5
240695;j.jct.2011.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.0;1482.34;0.5
240696;j.jct.2011.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1496.7;0.5
240697;j.jct.2011.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.0;1509.13;0.5
260086;j.jct.2012.02.007;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;293.15;101.325;1256.7;0.3
260087;j.jct.2012.02.007;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;308.15;101.325;1206.5;0.3
260088;j.jct.2012.02.007;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;323.15;101.325;1156.9;0.3
263125;j.jct.2012.02.023;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;101.325;1160.07;0.5
263126;j.jct.2012.02.023;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.325;1127.2;0.5
263127;j.jct.2012.02.023;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;313.15;101.325;1093.64;0.5
263128;j.jct.2012.02.023;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;323.15;101.325;1060.44;0.5
269911;j.jct.2012.03.025;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.15;101.0;1466.52;0.05
269912;j.jct.2012.03.025;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.0;1482.49;0.05
269913;j.jct.2012.03.025;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1496.69;0.05
269914;j.jct.2012.03.025;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.0;1509.11;0.05
269915;j.jct.2012.03.025;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.0;1519.78;0.05
274441;j.jct.2012.04.020;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.15;101.0;1482.3;0.1
274442;j.jct.2012.04.020;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1496.51;0.1
274443;j.jct.2012.04.020;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.0;1519.55;0.1
274444;j.jct.2012.04.020;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;318.15;101.0;1536.42;0.1
281035;j.jct.2012.05.033;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1496.69;0.05
281036;j.jct.2012.05.033;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;310.15;101.0;1523.2;0.05
288727;j.jct.2012.07.019;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.325;1497.0;1e-05
293020;j.jct.2012.08.023;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.15;101.3;1467.33;0.01
293021;j.jct.2012.08.023;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.3;1497.73;0.01
293022;j.jct.2012.08.023;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.3;1520.78;0.01
294223;j.jct.2012.08.030;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.325;1239.28;0.01
296658;j.jct.2012.09.015;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.15;101.325;1131.0;0.5
296659;j.jct.2012.09.015;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;303.15;101.325;1109.0;0.5
296660;j.jct.2012.09.015;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.15;101.325;1088.0;0.5
296661;j.jct.2012.09.015;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.15;101.325;1066.0;0.5
296662;j.jct.2012.09.015;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;318.15;101.325;1045.0;0.5
296663;j.jct.2012.09.015;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;323.15;101.325;1024.0;0.5
307952;j.jct.2012.11.032;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;283.0;101.0;1448.06;0.5
307953;j.jct.2012.11.032;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.0;101.0;1466.42;0.5
307954;j.jct.2012.11.032;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.0;101.0;1482.65;0.5
307955;j.jct.2012.11.032;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.0;101.0;1496.88;0.5
307956;j.jct.2012.11.032;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.0;101.0;1509.26;0.5
307957;j.jct.2012.11.032;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.0;101.0;1519.94;0.5
307958;j.jct.2012.11.032;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;313.0;101.0;1529.02;0.5
307959;j.jct.2012.11.032;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;283.0;101.0;1448.35;0.5
307960;j.jct.2012.11.032;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.0;101.0;1466.46;0.5
307961;j.jct.2012.11.032;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.0;101.0;1482.66;0.5
307962;j.jct.2012.11.032;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.0;101.0;1509.25;0.5
310612;j.jct.2012.12.007;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;293.15;101.325;1256.2;0.1
310613;j.jct.2012.12.007;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.325;1239.6;0.1
310614;j.jct.2012.12.007;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;303.15;101.325;1223.8;0.1
311160;j.jct.2012.12.010;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;275.15;101.0;1412.2;1.0
311161;j.jct.2012.12.010;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;279.15;101.0;1430.6;1.0
311162;j.jct.2012.12.010;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;283.15;101.0;1447.3;1.0
327520;j.jct.2013.04.017;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.15;101.0;1465.96;0.42
327521;j.jct.2013.04.017;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.0;1482.38;0.42
327522;j.jct.2013.04.017;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1496.73;0.42
327523;j.jct.2013.04.017;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.0;1509.17;0.42
327524;j.jct.2013.04.017;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.0;1519.85;0.42
327525;j.jct.2013.04.017;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;313.15;101.0;1528.89;0.42
327526;j.jct.2013.04.017;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;318.15;101.0;1536.43;0.42
327527;j.jct.2013.04.017;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;323.15;101.0;1542.57;0.42
328581;j.jct.2013.05.003;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;283.15;101.3;1447.28;0.5
328582;j.jct.2013.05.003;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.15;101.3;1465.94;0.5
328583;j.jct.2013.05.003;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.3;1482.36;0.5
328584;j.jct.2013.05.003;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.3;1496.7;0.5
328585;j.jct.2013.05.003;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.3;1509.14;0.5
330849;j.jct.2013.05.009;2,2,4-trimethylpentane;CC(C)CC(C)(C)C;31921-36-5;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;298.15;101.0;1082.7;0.5
330850;j.jct.2013.05.009;2,2,4-trimethylpentane;CC(C)CC(C)(C)C;31921-36-5;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;308.15;101.0;1041.1;0.5
330851;j.jct.2013.05.009;2,2,4-trimethylpentane;CC(C)CC(C)(C)C;31921-36-5;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;318.15;101.0;1000.1;0.5
330852;j.jct.2013.05.009;2,2,4-trimethylpentane;CC(C)CC(C)(C)C;31921-36-5;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;328.15;101.0;959.4;0.5
330867;j.jct.2013.05.009;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1239.9;0.5
330868;j.jct.2013.05.009;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;308.15;101.0;1206.6;0.5
330869;j.jct.2013.05.009;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;318.15;101.0;1173.4;0.5
330870;j.jct.2013.05.009;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;328.15;101.0;1140.4;0.5
331756;j.jct.2013.05.012;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1496.9;0.3
331757;j.jct.2013.05.012;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.0;1508.4;0.3
331758;j.jct.2013.05.012;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.0;1519.8;0.3
331759;j.jct.2013.05.012;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;313.15;101.0;1526.8;0.3
331760;j.jct.2013.05.012;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;318.15;101.0;1533.0;0.3
337725;j.jct.2013.05.037;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.325;1482.57;0.2
337726;j.jct.2013.05.037;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.325;1496.58;0.2
337727;j.jct.2013.05.037;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.325;1509.01;0.2
337728;j.jct.2013.05.037;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.325;1519.54;0.2
346558;j.jct.2013.08.010;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.15;101.0;1463.12;1.0
346559;j.jct.2013.08.010;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1495.85;1.0
346560;j.jct.2013.08.010;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.0;1519.14;1.0
346561;j.jct.2013.08.010;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;318.15;101.0;1536.14;1.0
348738;j.jct.2013.08.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;278.15;101.3;1426.2;1.0
348739;j.jct.2013.08.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.15;101.3;1465.9;1.0
348740;j.jct.2013.08.016;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.3;1496.7;1.0
350200;j.jct.2013.08.021;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1143.9;0.5
350201;j.jct.2013.08.021;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.0;1128.0;0.5
350202;j.jct.2013.08.021;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;308.15;101.0;1111.8;0.5
351886;j.jct.2013.08.033;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1240.25;0.5
352540;j.jct.2013.09.005;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;303.15;101.325;1228.4;0.5
353026;j.jct.2013.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.325;1483.6;1.0
353027;j.jct.2013.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.325;1496.9;1.0
353028;j.jct.2013.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.325;1508.4;1.0
353029;j.jct.2013.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.325;1519.8;1.0
353030;j.jct.2013.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;313.15;101.325;1526.8;1.0
353031;j.jct.2013.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;318.15;101.325;1533.0;1.0
354629;j.jct.2013.09.015;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.325;1496.83;0.5
361477;j.jct.2013.10.025;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;298.15;101.325;1280.1;0.5
369802;j.jct.2013.11.015;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.15;101.0;1463.12;0.5
369803;j.jct.2013.11.015;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.0;1481.14;0.5
369804;j.jct.2013.11.015;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1495.85;0.5
369805;j.jct.2013.11.015;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.0;1508.84;0.5
369806;j.jct.2013.11.015;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.0;1519.14;0.5
371613;j.jct.2013.11.021;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1497.0;0.5
371614;j.jct.2013.11.021;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.0;1509.16;0.5
371615;j.jct.2013.11.021;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.0;1519.76;0.5
371616;j.jct.2013.11.021;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;313.15;101.0;1528.86;0.5
371617;j.jct.2013.11.021;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;318.15;101.0;1536.42;0.5
373340;j.jct.2013.11.027;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;293.15;101.325;1304.63;0.5
373341;j.jct.2013.11.027;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;298.15;101.325;1280.48;0.5
373342;j.jct.2013.11.027;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;303.15;101.325;1256.43;0.5
373343;j.jct.2013.11.027;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;308.15;101.325;1232.53;0.5
373344;j.jct.2013.11.027;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;313.15;101.325;1208.78;0.5
373345;j.jct.2013.11.027;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;318.15;101.325;1185.25;0.5
373346;j.jct.2013.11.027;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;323.15;101.325;1161.74;0.5
384545;j.jct.2014.01.030;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;288.15;101.0;1179.0;1.0
384546;j.jct.2014.01.030;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1145.0;1.0
384547;j.jct.2014.01.030;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;308.15;101.0;1111.0;1.0
392865;j.jct.2014.03.021;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.325;1482.59;0.5
392866;j.jct.2014.03.021;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.325;1496.8;0.5
392867;j.jct.2014.03.021;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.325;1509.14;0.5
392868;j.jct.2014.03.021;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.325;1519.76;0.5
392869;j.jct.2014.03.021;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;313.15;101.325;1528.76;0.5
392870;j.jct.2014.03.021;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;318.15;101.325;1536.25;0.5
392871;j.jct.2014.03.021;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;323.15;101.325;1542.35;0.5
417509;j.jct.2014.09.011;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;278.15;101.3;1426.2;1.0
417510;j.jct.2014.09.011;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.15;101.3;1465.9;1.0
417511;j.jct.2014.09.011;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.3;1496.7;1.0
436246;j.jct.2015.02.011;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;293.15;100.7;1305.0;1.0
436247;j.jct.2015.02.011;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;298.15;100.7;1280.82;1.0
436248;j.jct.2015.02.011;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;303.15;100.7;1256.8;1.0
436249;j.jct.2015.02.011;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;308.15;100.7;1232.88;1.0
436250;j.jct.2015.02.011;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;313.15;100.7;1209.17;1.0
436251;j.jct.2015.02.011;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;318.15;100.7;1185.68;1.0
436252;j.jct.2015.02.011;tetrahydrofuran;C1CCOC1;77392-70-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;323.15;100.7;1162.31;1.0
443105;j.jct.2015.03.023;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;293.15;101.325;1256.3;0.5
443106;j.jct.2015.03.023;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.325;1239.5;0.5
443107;j.jct.2015.03.023;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;308.15;101.325;1205.9;0.5
452597;j.jct.2015.06.009;methyl tert-butyl ether;COC(C)(C)C;1634-04-4;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;298.15;101.0;1036.27;0.5
452598;j.jct.2015.06.009;methyl tert-butyl ether;COC(C)(C)C;1634-04-4;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;308.15;101.0;990.46;0.5
452599;j.jct.2015.06.009;methyl tert-butyl ether;COC(C)(C)C;1634-04-4;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;318.15;101.0;944.87;0.5
452614;j.jct.2015.06.009;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1240.02;0.5
452615;j.jct.2015.06.009;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;308.15;101.0;1206.63;0.5
452616;j.jct.2015.06.009;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;318.15;101.0;1173.37;0.5
452617;j.jct.2015.06.009;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;328.15;101.0;1140.42;0.5
455231;j.jct.2015.06.029;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.325;1498.0;0.5
504923;j.fluid.2006.02.023;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.325;1505.2;0.2
504929;j.fluid.2006.02.023;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.325;1144.3;0.2
504938;j.fluid.2006.02.023;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;303.15;101.325;1196.6;0.2
504944;j.fluid.2006.02.023;2-methyl-2-propanol;CC(C)(C)O;75-65-0;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;303.15;101.325;1078.8;0.2
528883;j.fluid.2007.07.016;2-methyl-2-propanol;CC(C)(C)O;75-65-0;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;293.15;101.0;1141.5;0.0
